DateTime,Actual,Single WPD-LSTM,Multi WPD-LSTM,LSTM,Multi WPD-LSTM wwo,Persistence,Single EMD,Multi EMD
10/08/2023 06:00,0,0,0,0,0,0,0,0
10/08/2023 06:15,0,0,0,0,0,0,0,0
10/08/2023 06:30,0,0,0,0,0,0,0,0
10/08/2023 06:45,0,0,0,0,0,0,0,0
10/08/2023 07:00,0,0,0,0,0,0,0,0
10/08/2023 07:15,0,0,0,0,0,0,0,0
10/08/2023 07:30,0,0,0,0,0,0,0,0
10/08/2023 07:45,709,866.879,357.996,1058.15,1453.5,0,0,0
10/08/2023 08:00,1058,962.7,511.381,1089.68,1616.11,0,1748.0168,5339.04
10/08/2023 08:15,1504,1075.05,728.398,1127.09,2769.06,0,2025.5795,5721.861
10/08/2023 08:30,2072,1462.02,1217.72,1170.38,2274.43,0,2706.7625,223.72281
10/08/2023 08:45,2763,2033.09,2315.52,1723.32,4336.04,709,3392.5212,-4067.2437
10/08/2023 09:00,2790,3469.66,2786.26,1877.8,3089.59,1058,4106.9863,-5899.7217
10/08/2023 09:15,4325,4186.95,3437.04,2278.33,3735.17,1504,4537.754,-5841.09
10/08/2023 09:30,3424,3145.5,2955.74,2952.03,3984.18,2072,4956.5215,-13231.152
10/08/2023 09:45,3784,3210.52,3306.38,4006.72,4536.22,2763,5063.1353,-13152.089
10/08/2023 10:00,4426,3243.3,3839.56,4112.03,7187.47,2790,5373.365,-12783.87
10/08/2023 10:15,4478,5102.32,5296.54,5360.21,5806.51,4325,5629.507,-9635.383
10/08/2023 10:30,4505,4476.6,5819.68,5075.13,4384.69,3424,5760.767,-16868.85
10/08/2023 10:45,7543,6036.4,5673.99,5259.14,6809.56,3784,5969.305,-22590.248
10/08/2023 11:00,4945,5302.75,5338.73,6008.83,5103.86,4426,6418.443,-22919.14
10/08/2023 11:15,4599,4612.37,5624.9,5879.6,6800.64,4478,6966.673,-21082.82
10/08/2023 11:30,6236,6109.95,6162.51,5588.19,7386.71,4505,7874.5996,-26015.799
10/08/2023 11:45,6094,4855.85,5814.54,6792.66,7426.17,7543,8358.38,-17189.29
10/08/2023 12:00,9351,6476.37,6406.74,5334.84,10099.1,4945,8137.1616,-13261.016
10/08/2023 12:15,9848,7217.01,9140.01,5359.77,8949.61,4599,8023.512,-8821.808
10/08/2023 12:30,10082,7960.79,9719.38,6361.33,7788.62,6236,6979.3955,-10028.819
10/08/2023 12:45,11320,10996.2,9899.81,5125.19,5817.48,6094,5902.08,-10101.689
10/08/2023 13:00,5548,9024.7,9101.1,6609.57,1594.63,9351,4955.3604,-6472.709
10/08/2023 13:15,5876,7230.69,6218.57,6480.27,600.801,9848,3577.9966,-3167.4905
10/08/2023 13:30,3227,4509.47,4717.1,5710.3,660.906,10082,2826.2478,-1103.0117
10/08/2023 13:45,3226,2146.24,3125.19,6285.53,1639.83,11320,1717.9055,7627.3535
10/08/2023 14:00,1680,1863.9,2081.3,3551.36,2726.88,5548,884.99695,5899
10/08/2023 14:15,1804,923.081,2862.49,3232.5,2418.78,5876,301.99844,6407.377
10/08/2023 14:30,1336,1389.43,1221.56,2163.94,1478.03,3227,54.92972,10765.274
10/08/2023 14:45,1968,1991.83,775.49,1725.12,1000.08,3226,-106.596214,11686.331
10/08/2023 15:00,2104,2128.67,1333.73,1215.79,256.117,1680,-201.65964,9807.089
10/08/2023 15:15,3011,1706.4,2071.54,1044.83,198.048,1804,-279.8344,4389.9873
10/08/2023 15:30,2139,1116.55,1545.52,826.158,672.533,1336,-371.27368,8718.168
10/08/2023 15:45,736,1017.03,298.693,787.346,557.083,1968,-450.41162,11481.098
10/08/2023 16:00,0,0,0,0,0,2104,-510.6088,9116.164
10/08/2023 16:15,0,0,0,0,0,3011,-399.38986,3424.023
10/08/2023 16:30,0,0,0,0,0,2139,-317.814,3973.3696
10/08/2023 16:45,0,0,0,0,0,736,-315.56818,2837.2346
10/08/2023 17:00,0,0,0,0,0,0,-307.9995,3226.2856
10/08/2023 17:15,0,0,0,0,0,0,-290.93915,4253.188
10/08/2023 17:30,0,0,0,0,0,0,-270.13828,1649.3995
10/08/2023 17:45,0,0,0,0,0,0,-247.53975,947.74866
10/08/2023 18:00,0,0,0,0,0,0,-224.57416,376.67764
10/08/2023 18:15,0,0,0,0,0,0,-199.67444,-3458.1738
10/08/2023 18:30,0,0,0,0,0,0,-172.57762,-3103.4834
10/08/2023 18:45,0,0,0,0,0,0,-151.68121,-2717.062
10/08/2023 19:00,0,0,0,0,0,0,-128.9047,-3638.4358
10/08/2023 19:15,0,0,0,0,0,0,-104.864525,-4475.071
10/08/2023 19:30,0,0,0,0,0,0,-80.24411,-3592.0894
10/08/2023 19:45,0,0,0,0,0,0,-55.628147,-3735.2812
10/09/2023 06:00,0,0,0,0,0,0,-31.478415,-3777.7183
10/09/2023 06:15,0,0,0,0,0,0,339.94913,-2886.4268
10/09/2023 06:30,0,0,0,0,0,0,387.4338,-4425.0234
10/09/2023 06:45,0,0,0,0,0,0,575.20245,4967.002
10/09/2023 07:00,0,0,0,0,0,0,776.9705,10467.89
10/09/2023 07:15,0,0,0,0,0,0,945.5443,14137.74
10/09/2023 07:30,0,0,0,0,0,0,1069.4247,15043.948
10/09/2023 07:45,0,0,0,0,0,0,1143.4661,14419.443
10/09/2023 08:00,0,0,0,0,0,0,1173.0637,10723.578
10/09/2023 08:15,0,0,0,0,0,0,1210.8092,9189.7
10/09/2023 08:30,0,0,0,0,0,0,1442.0398,5177.2856
10/09/2023 08:45,1130,1094.92,755.646,1222.75,1559.29,0,1483.3115,3460.347
10/09/2023 09:00,1361,1479.5,1021.3,1269.85,1586.08,0,1834.81,437.57385
10/09/2023 09:15,1909,1662.07,1125.3,1319.11,2138.13,0,2137.1594,-3111.1335
10/09/2023 09:30,1738,1722.33,1201.48,1370.89,1813.43,0,2243.9167,-3253.1104
10/09/2023 09:45,1628,1707.43,1680.44,2109.02,2798.92,1130,2229.099,79.68793
10/09/2023 10:00,1639,2572.83,1637.77,2150.4,1559.75,1361,2179.5427,-759.08026
10/09/2023 10:15,1804,2795.92,2160.07,2520.43,1290.56,1909,2108.546,-1334.3317
10/09/2023 10:30,1976,1919.37,1772.32,2517.3,1067.1,1738,2071.4778,-3012.2615
