DateTime,Actual,Single WPD-LSTM,Multi WPD-LSTM,LSTM,Multi WPD-LSTM without weight optimization,Persistence,Single EMD,Multi EMD
10/08/2023 06:00,0,0,0,0,0,0,0,0
10/08/2023 06:15,0,0,0,0,0,0,0,0
10/08/2023 06:30,0,0,0,0,0,0,0,0
10/08/2023 06:45,0,0,0,0,0,0,0,0
10/08/2023 07:00,0,0,0,0,0,0,0,0
10/08/2023 07:15,0,0,0,0,0,0,0,0
10/08/2023 07:30,0,0,0,0,388.538,0,0,0
10/08/2023 07:45,709,585.093,660.421,68.0792,657.404,0,0,0
10/08/2023 08:00,1058,1101.84,1105.37,620.862,1671.39,709,1042.7449,0
10/08/2023 08:15,1504,1403.87,1746.07,925.842,1922.96,1058,1593.0931,1979.6533
10/08/2023 08:30,2072,2491.16,2485.1,1353.06,3276.22,1504,2052.0222,4458.0654
10/08/2023 08:45,2763,3057.65,3381.77,1970.41,2998.07,2072,2442.557,7528.5576
10/08/2023 09:00,2790,3120.7,3295.98,2840.4,3994.79,2763,2973.1672,4702.7964
10/08/2023 09:15,4325,3939.44,4327.11,2651.64,3764.87,2790,3751.6035,5094.465
10/08/2023 09:30,3424,3584.35,3776.67,4043.92,3346.57,4325,3958.4668,4051.7717
10/08/2023 09:45,3784,3695.05,4046.32,3339.3,4590.74,3424,3664.9238,-2931.378
10/08/2023 10:00,4426,4630.64,4898.66,3948.81,4698.19,3784,3801.6697,-4521.994
10/08/2023 10:15,4478,4970.36,4992.82,4571.49,4095.89,4426,4654.817,-1671.2272
10/08/2023 10:30,4505,4211.88,4382.31,4692.87,7408.76,4478,6238.4927,4843.6187
10/08/2023 10:45,7543,7808.82,7666.14,4848.08,4920.26,4505,6674.1934,6007.383
10/08/2023 11:00,4945,5387.92,5135.9,6839.81,4912.66,7543,6099.894,6244.5244
10/08/2023 11:15,4599,4391.48,4584.12,5144.84,6575.61,4945,5560.3887,2271.338
10/08/2023 11:30,6236,6624.62,6295.47,5637.25,6061.94,4599,6772.435,4198.8784
10/08/2023 11:45,6094,6239.24,6344,6760.7,9573.04,6236,7534.7827,6914.502
10/08/2023 12:00,9351,9600.83,9681.07,5741.75,9831.76,6094,9505.124,7931.8384
10/08/2023 12:15,9848,10292.4,10170.1,8552.9,9969.98,9351,10368.754,2896.8152
10/08/2023 12:30,10082,10667,10313,8398.54,10804.7,9848,11049.904,8401.186
10/08/2023 12:45,11320,11771.4,10801.9,8629.2,5969,10082,9161.233,7242.5156
10/08/2023 13:00,5548,6061.84,5554.2,9776.7,6720.61,11320,5663.5674,10854.287
10/08/2023 13:15,5876,6007.49,5476.47,5653.24,3790.11,5548,4517.2397,8138.6777
10/08/2023 13:30,3227,3288.39,2892.58,5948.42,2881.04,5876,5170.605,6478.6045
10/08/2023 13:45,3226,3048.78,3319.04,3376.88,1985.48,3227,3548.819,5033.7563
10/08/2023 14:00,1680,1800.89,1712.18,3371.56,1270.9,3226,1860.7883,8018.076
10/08/2023 14:15,1804,1747.89,2121.44,1874.07,1573.25,1680,1781.5674,5599.441
10/08/2023 14:30,1336,1557.22,1724.12,1895.71,2690.53,1804,1268.8875,267.41382
10/08/2023 14:45,1968,1976.37,1989.99,1226.15,1846.74,1336,876.2667,0
10/08/2023 15:00,2104,1866.17,2152.02,1561.09,2736.74,1968,959.51733,2901.249
10/08/2023 15:15,3011,2629.78,3118.09,1600.36,1869.07,2104,980.33954,0
10/08/2023 15:30,2139,2145.09,2188.61,2128.4,672.276,3011,781.8317,0
10/08/2023 15:45,736,594.051,805.295,1531.87,0,2139,572.5334,0
10/08/2023 16:00,0,0,0,0,0,736,277.01172,0
10/08/2023 16:15,0,0,0,0,0,0,0,0
10/08/2023 16:30,0,0,0,0,0,0,0,0
10/08/2023 16:45,0,0,0,0,0,0,0,0
10/08/2023 17:00,0,0,0,0,0,0,0,0
10/08/2023 17:15,0,0,0,0,0,0,0,0
10/08/2023 17:30,0,0,0,0,0,0,0,0
10/08/2023 17:45,0,0,0,0,0,0,0,0
10/08/2023 18:00,0,0,0,0,0,0,0,0
10/08/2023 18:15,0,0,0,0,0,0,0,0
10/08/2023 18:30,0,0,0,0,0,0,0,0
10/08/2023 18:45,0,0,0,0,0,0,0,0
10/08/2023 19:00,0,0,0,0,0,0,0,0
10/08/2023 19:15,0,0,0,0,0,0,0,0
10/08/2023 19:30,0,0,0,0,0,0,0,0
10/08/2023 19:45,0,0,0,0,0,0,0,0
10/09/2023 06:00,0,0,0,0,0,0,0,0
10/09/2023 06:15,0,0,0,0,0,0,0,0
10/09/2023 06:30,0,0,0,0,0,0,0,0
10/09/2023 06:45,0,0,0,0,0,0,0,0
10/09/2023 07:00,0,0,0,0,0,0,0,0
10/09/2023 07:15,0,0,0,0,0,0,0,0
10/09/2023 07:30,0,0,0,0,0,0,0,0
10/09/2023 07:45,0,0,0,0,0,0,0,0
10/09/2023 08:00,0,0,0,0,0,0,0,6312.4863
10/09/2023 08:15,0,0,0,0,0,0,0,5415.3037
10/09/2023 08:30,0,0,0,0,965.467,0,0,10496.758
10/09/2023 08:45,1130,933.033,1212.03,133.905,1150.44,0,0,11353.7
10/09/2023 09:00,1361,1527.41,1645.29,988.164,1963.71,1130,1398.865,15201.313
10/09/2023 09:15,1909,1754.46,2087.75,1227.63,1664.24,1361,1841.108,14919.11
10/09/2023 09:30,1738,2220.33,2149.89,1615.13,1968.47,1909,1825.1066,13784.154
10/09/2023 09:45,1628,1844,2051.45,1438.11,1818.13,1738,1958.5121,14301.401
10/09/2023 10:00,1639,1768.17,1839.74,1450.84,1825.98,1628,1808.4125,21871.99
10/09/2023 10:15,1804,1752.32,2035.84,1517.01,1889.91,1639,1812.6124,19426.768
10/09/2023 10:30,1976,1817.84,2027.89,1623.89,1433.42,1804,1811.4989,36468.453
10/09/2023 10:45,1653,1524.01,1750.71,1761.54,1626.33,1976,1803.0143,34526.566
10/09/2023 11:00,1640,1638.24,1822.73,1522.57,1908.51,1653,1771.9099,38569.62
10/09/2023 11:15,1611,1757.22,1954.25,1553.61,2219.87,1640,1704.9109,37909.645
10/09/2023 11:30,1502,1838.67,1989.71,1582.35,2773.91,1611,1686.3552,36730.74
