DateTime,Actual,Single WPD-LSTM,Multi WPD-LSTM,LSTM,Multi WPD-LSTM without weight optimization,Linear Regression,Persistence,Single EMD,Multi EMD
10/08/2023 06:00,0,0,0,0,0,0,0,5760.8813,1579.749
10/08/2023 06:15,0,0,0,0,0,0,0,5420.443,2686.4382
10/08/2023 06:30,0,0,0,0,0,0,0,4947.2314,1724.6895
10/08/2023 06:45,0,0,0,0,0,0,0,4480.1807,5324.006
10/08/2023 07:00,0,0,0,0,0,0,0,4092.7673,-1651.7998
10/08/2023 07:15,0,0,0,0,0,0,0,3581.37,-4262.4233
10/08/2023 07:30,0,0,0,0,1275.72,424,1190,3060.4639,-6550.1157
10/08/2023 07:45,709,1156.88,1212.89,1533.97,1791.07,709,1166,2995.8123,2850.5828
10/08/2023 08:00,1058,1484.04,1272.8,1753.71,2119.68,1673,2418,2577.5652,-4381.1045
10/08/2023 08:15,1504,1810.17,1382.92,2063.21,2107.19,2375,1877,2535.0508,-4580.917
10/08/2023 08:30,2072,2235.63,1633.88,2359.03,2721.62,2191,2360,2178.9412,-9034.413
10/08/2023 08:45,2763,2748.61,2005.52,2674.83,3599.27,2683,2632,1823.634,-3374.7864
10/08/2023 09:00,2790,3212.63,2385.7,3016.27,4258.85,3072,3131,1674.6239,2260.8267
10/08/2023 09:15,4325,3664.93,2755.28,3393.07,4706.48,3504,3708,1581.0562,-3462.4883
10/08/2023 09:30,3424,4182.2,3164.17,3840.48,4712.08,3569,5302,1550.0195,-4346.174
10/08/2023 09:45,3784,4562,3428.41,4338.09,5238.46,3916,6147,1598.9564,-5067.062
10/08/2023 10:00,4426,4709.88,3784.15,4833.57,6005.93,1731,6014,1815.5938,-899.6764
10/08/2023 10:15,4478,4797,4155.55,5192.94,6579.3,1821,6566,2104.9512,2123.977
10/08/2023 10:30,4505,4984.4,4821.88,5495.27,7032.02,4619,3643,2634.6458,9671.662
10/08/2023 10:45,7543,5405.51,5214.38,5238.09,7061.99,4744,2865,3359.666,10491.225
10/08/2023 11:00,4945,5696.94,5371.96,5067.62,7400.94,8217,4627,3781.0386,14228.733
10/08/2023 11:15,4599,5967.68,5755.33,5227.28,8018.93,8217,8796,4544.661,17973.824
10/08/2023 11:30,6236,5992.63,6372.04,5859.87,8376.94,2594,7789,5494.287,13139.176
10/08/2023 11:45,6094,6036.95,6514,5962.71,8656.51,2406,7444,6726.954,17081.646
10/08/2023 12:00,9351,5972.22,6249.72,5856.61,8587.54,656,8668,7466.408,23569.754
10/08/2023 12:15,9848,5923.93,6427.62,5817.71,8457.65,663,7858,8561.399,21945.852
10/08/2023 12:30,10082,5869.77,6802.63,5715.01,8667.5,7139,8948,9334.722,24925.594
10/08/2023 12:45,11320,5695.67,6650.7,5806.31,8535.31,7010,6772,9923.783,25252.229
10/08/2023 13:00,5548,5582.82,6003.77,5445.36,8470.74,10274,5927,10410.013,33687.824
10/08/2023 13:15,5876,5512.79,5868.42,5124.18,8141.9,9637,9781,10817.196,23850.75
10/08/2023 13:30,3227,5222.41,5705.91,5377.23,7604.58,4626,8626,11014.513,34992.773
10/08/2023 13:45,3226,4860.38,4874.18,5208.59,7368.64,4226,7628,11169.116,35301.89
10/08/2023 14:00,1680,4457.25,3230.66,5036.8,6965.87,1577,5708,10948.114,38078.82
10/08/2023 14:15,1804,4017.66,2697.14,4594,6839.72,1251,3301,10746.745,38851.727
10/08/2023 14:30,1336,3520.44,2897.42,3952.05,6437.27,3936,2823,10840.895,42129.13
10/08/2023 14:45,1968,3018.16,2176.84,3486.66,5778.86,2987,2722,10592.551,46294.414
10/08/2023 15:00,2104,2470.9,1070.23,3109.34,5402.12,6562,1456,10525.318,37514.777
10/08/2023 15:15,3011,1927.13,688.461,2707.38,4845.42,4600,0,9971.395,40047.62
10/08/2023 15:30,2139,956.427,84.8669,1295.02,4566.37,3176,0,9138.592,42726.883
10/08/2023 15:45,736,434.825,1.54268,704.556,0,0,0,8518.306,41267.656
10/08/2023 16:00,0,0,0,0,0,0,0,7739.3325,44153.703
10/08/2023 16:15,0,0,0,0,0,0,0,6952.9707,42158.992
10/08/2023 16:30,0,0,0,0,0,0,0,6257.6353,42576.11
