DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS6,GHI6,P
01/09/2021 06:00,360,1,9,0,0,0,-113.3941834,-113.3941834,0
01/09/2021 06:15,375,1,9,0,0,0,-110.33358,-110.33358,0
01/09/2021 06:30,390,1,9,0,0,0,-107.2670036,-107.2670036,0
01/09/2021 06:45,405,1,9,0,0,0,-104.1949154,-104.1949154,0
01/09/2021 07:00,420,1,9,0,0,0,-101.1177763,-101.1177763,0
01/09/2021 07:15,435,1,9,15.2,0.935,0.805,-98.03604735,-98.03604735,923
01/09/2021 07:30,450,1,9,15.3,1.32,0.81,-94.95018964,-94.95018964,973
01/09/2021 07:45,465,1,9,15.4,1.375,0.79,-91.86066421,-91.86066421,1115
01/09/2021 08:00,480,1,9,15.6,1.42,0.79,-88.7679321,-88.7679321,1396
01/09/2021 08:15,495,1,9,15.7,1.45,0.78,-85.67245435,-85.67245435,1588
01/09/2021 08:30,510,1,9,15.7,1.44,0.77,-82.57469202,-82.57469202,1677
01/09/2021 08:45,525,1,9,15.9,1.315,0.765,-79.47510615,-79.47510615,1735
01/09/2021 09:00,540,1,9,16,1.07,0.75,-76.37415778,-76.37415778,2116
01/09/2021 09:15,555,1,9,16.15,1.2,0.735,-73.27230797,-73.27230797,2252
01/09/2021 09:30,570,1,9,16.3,1.36,0.72,-70.17001775,-70.17001775,2361
01/09/2021 09:45,585,1,9,16.45,1.305,0.7,-67.06774818,-67.06774818,2003
01/09/2021 10:00,600,1,9,16.5,1.34,0.69,-63.9659603,-63.9659603,2480
01/09/2021 10:15,615,1,9,16.6,1.595,0.7,-60.86511516,-60.86511516,2818
01/09/2021 10:30,630,1,9,16.7,1.44,0.71,-57.76567381,-57.76567381,3339
01/09/2021 10:45,645,1,9,16.9,1.55,0.695,-54.66809729,-54.66809729,4349
01/09/2021 11:00,660,1,9,17.1,1.5,0.67,-51.57284664,-51.57284664,4771
01/09/2021 11:15,675,1,9,17.2,1.545,0.655,-48.48038292,-48.48038292,4245
01/09/2021 11:30,690,1,9,17.4,2,0.68,-45.39116717,-45.39116717,4089
01/09/2021 11:45,705,1,9,17.35,1.84,0.67,-42.30566043,-42.30566043,4083
01/09/2021 12:00,720,1,9,17.7,1.44,0.65,-39.22432376,-39.22432376,4262
01/09/2021 12:15,735,1,9,17.55,1.565,0.65,-36.1476182,-36.1476182,3993
01/09/2021 12:30,750,1,9,17.7,1.4,0.65,-33.0760048,-33.0760048,3580
