,times,YYYYMMDD,HH,T,SQ,Q,DR,RH,VV,N,U,M,R,S,O,Y,year,month,day,hour,Unnamed: 0,power,active_sessions
37824,2022-01-30 00:00:00,2022-01-30,00,4.800000000000001,0.0,0.0,0.0,0.0,65.0,8.0,82.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,0,2022-01-30 00:00:00,0.0,0.0
37825,2022-01-30 00:15:00,2022-01-30,00,4.800000000000001,0.0,0.0,0.0,0.0,65.0,8.0,82.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,0,2022-01-30 00:15:00,0.0,0.0
37826,2022-01-30 00:30:00,2022-01-30,00,4.800000000000001,0.0,0.0,0.0,0.0,65.0,8.0,82.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,0,2022-01-30 00:30:00,0.0,0.0
37827,2022-01-30 00:45:00,2022-01-30,00,4.800000000000001,0.0,0.0,0.0,0.0,65.0,8.0,82.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,0,2022-01-30 00:45:00,0.0,0.0
37828,2022-01-30 01:00:00,2022-01-30,01,6.9,0.0,0.0,0.0,0.0,62.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,1,2022-01-30 01:00:00,0.0,0.0
37829,2022-01-30 01:15:00,2022-01-30,01,6.9,0.0,0.0,0.0,0.0,62.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,1,2022-01-30 01:15:00,0.0,0.0
37830,2022-01-30 01:30:00,2022-01-30,01,6.9,0.0,0.0,0.0,0.0,62.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,1,2022-01-30 01:30:00,0.0,0.0
37831,2022-01-30 01:45:00,2022-01-30,01,6.9,0.0,0.0,0.0,0.0,62.0,2.0,70.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,1,2022-01-30 01:45:00,0.0,0.0
37832,2022-01-30 02:00:00,2022-01-30,02,6.7,0.0,0.0,0.0,0.0,63.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,2,2022-01-30 02:00:00,0.0,0.0
37833,2022-01-30 02:15:00,2022-01-30,02,6.7,0.0,0.0,0.0,0.0,63.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,2,2022-01-30 02:15:00,0.0,0.0
37834,2022-01-30 02:30:00,2022-01-30,02,6.7,0.0,0.0,0.0,0.0,63.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,2,2022-01-30 02:30:00,0.0,0.0
37835,2022-01-30 02:45:00,2022-01-30,02,6.7,0.0,0.0,0.0,0.0,63.0,8.0,72.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,2,2022-01-30 02:45:00,0.0,0.0
37836,2022-01-30 03:00:00,2022-01-30,03,6.4,0.0,0.0,0.0,0.0,66.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,3,2022-01-30 03:00:00,0.0,0.0
37837,2022-01-30 03:15:00,2022-01-30,03,6.4,0.0,0.0,0.0,0.0,66.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,3,2022-01-30 03:15:00,0.0,0.0
37838,2022-01-30 03:30:00,2022-01-30,03,6.4,0.0,0.0,0.0,0.0,66.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,3,2022-01-30 03:30:00,0.0,0.0
37839,2022-01-30 03:45:00,2022-01-30,03,6.4,0.0,0.0,0.0,0.0,66.0,6.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,3,2022-01-30 03:45:00,0.0,0.0
37840,2022-01-30 04:00:00,2022-01-30,04,6.1000000000000005,0.0,0.0,0.0,0.0,69.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,4,2022-01-30 04:00:00,0.0,0.0
37841,2022-01-30 04:15:00,2022-01-30,04,6.1000000000000005,0.0,0.0,0.0,0.0,69.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,4,2022-01-30 04:15:00,0.0,0.0
37842,2022-01-30 04:30:00,2022-01-30,04,6.1000000000000005,0.0,0.0,0.0,0.0,69.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,4,2022-01-30 04:30:00,0.0,0.0
37843,2022-01-30 04:45:00,2022-01-30,04,6.1000000000000005,0.0,0.0,0.0,0.0,69.0,1.0,68.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,4,2022-01-30 04:45:00,0.0,0.0
37844,2022-01-30 05:00:00,2022-01-30,05,5.9,0.0,0.0,0.0,0.0,67.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,5,2022-01-30 05:00:00,0.0,0.0
37845,2022-01-30 05:15:00,2022-01-30,05,5.9,0.0,0.0,0.0,0.0,67.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,5,2022-01-30 05:15:00,0.0,0.0
37846,2022-01-30 05:30:00,2022-01-30,05,5.9,0.0,0.0,0.0,0.0,67.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,5,2022-01-30 05:30:00,0.0,0.0
37847,2022-01-30 05:45:00,2022-01-30,05,5.9,0.0,0.0,0.0,0.0,67.0,2.0,69.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,5,2022-01-30 05:45:00,0.0,0.0
37848,2022-01-30 06:00:00,2022-01-30,06,6.0,0.0,0.0,0.0,0.0,65.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,6,2022-01-30 06:00:00,0.0,0.0
37849,2022-01-30 06:15:00,2022-01-30,06,6.0,0.0,0.0,0.0,0.0,65.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,6,2022-01-30 06:15:00,0.0,0.0
37850,2022-01-30 06:30:00,2022-01-30,06,6.0,0.0,0.0,0.0,0.0,65.0,2.0,71.0,0.0,0.0,0.0,0.0,0.0,2022,1,6,6,2022-01-30 06:30:00,0.0,0.0
