,actual,pred
0,5547.0,5015.528
1,5572.0,4889.5103
2,5603.0,4430.274
3,3052.0,4150.4023
4,2035.0,3295.9146
5,2290.0,2762.5742
6,1853.9999999999998,2730.269
7,2034.0,2824.0266
8,1369.0,2589.9924
9,3155.0000000000005,1877.7141
10,3960.0,2502.55
11,3208.9999999999995,3079.8357
12,4741.0,2992.0955
13,2301.0,3376.1265
14,1139.0,2507.6248
15,2302.0,1520.2173
16,1787.0,2190.35
17,6038.0,3386.1816
18,9109.0,5957.5625
19,13093.999999999998,7552.9346
20,8559.0,8645.452
21,5111.0,7010.6016
22,2488.0,4892.072
23,2427.0,4919.702
24,2893.0,3899.37
25,5519.0,3452.7087
26,3580.0000000000005,2764.3926
27,3258.0,2329.7432
28,1680.0,1841.2223
29,2183.0,759.37305
30,1662.9999999999998,1268.3436
31,1864.0000000000002,1283.4362
32,874.0,751.15173
33,0.0,634.5628
34,0.0,342.02356
35,0.0,260.02994
36,1996.0,267.58618
37,2088.0,489.7975
38,2398.0,1955.9889
39,2344.0,2294.2678
40,2967.0,2123.247
41,3372.0,3120.5427
42,3130.9999999999995,3479.7876
43,4572.0,3671.116
44,4237.0,4310.9653
45,5911.0,5497.036
46,7666.000000000001,6565.106
47,6947.0,6699.8237
48,5718.000000000001,6606.6934
49,7327.000000000001,7782.4067
50,9694.0,9264.082
51,9060.0,10362.765
52,12045.0,10560.764
53,12494.0,12125.675
54,15938.0,13442.054
55,13263.000000000002,15006.601
56,14285.000000000002,13676.354
57,13470.000000000002,12951.427
58,12655.000000000002,14866.053
59,16486.0,15169.002
60,14706.0,15270.641
61,14324.0,15684.035
62,15470.0,15467.14
63,16056.0,15209.951
64,19254.0,14794.59
65,14156.999999999998,14528.876
66,16477.0,13600.897
67,17394.0,13401.31
68,11007.0,11729.139
69,7485.0,10746.704
70,14213.0,11050.52
71,8801.0,10692.382
72,3059.0,7767.248
73,2414.0,6442.4204
74,3637.0,6569.346
75,6798.0,6291.674
76,6303.0,6193.2505
77,8949.0,7048.059
78,10456.0,8098.6567
79,8184.0,7182.9634
80,6667.999999999999,6021.5454
81,5994.0,4622.602
82,3703.0,3311.6934
83,1317.0,2124.2646
84,1051.0,1475.2474
85,1414.0,987.3769
86,1321.0,629.5476
87,934.0000000000001,519.5614
88,770.0,511.96548
89,0.0,517.20917
90,0.0,465.3159
91,0.0,422.70847
92,588.0,396.16315
93,644.0,397.42267
94,706.0000000000001,736.6549
95,785.0,704.5533
96,874.0,1014.33844
97,992.0,1127.3484
98,1155.0,1450.2372
99,1376.0,1959.7408
100,1853.9999999999998,2573.0847
101,2462.0,3516.3538
102,4038.0,4756.713
103,5757.0,6266.1064
104,7485.999999999999,7479.2896
105,10519.0,8947.041
106,13165.0,10472.898
107,14031.0,11400.708
108,14544.0,12369.049
109,14722.0,13348.301
110,12781.999999999998,14489.511
111,17084.0,15371.284
112,15309.0,16660.018
113,18380.0,16356.553
114,18594.0,17193.725
115,18805.0,16950.957
116,18825.0,17105.559
117,18804.0,17654.682
118,18678.0,17661.072
119,18422.0,17585.715
120,18202.0,17753.227
121,17947.0,17207.352
122,17762.0,17143.385
123,17324.0,16601.318
124,16919.0,16365.8955
125,16400.0,15798.004
126,15861.0,15679.37
127,15275.000000000002,14854.051
128,14669.0,14781.312
129,13837.0,14131.919
130,13178.0,13733.098
131,12350.0,13092.519
132,11540.0,12769.655
133,10674.0,11851.386
134,9708.0,11125.286
135,8630.0,10303.048
136,7575.0,9004.986
137,6503.999999999999,7611.5483
138,5477.0,5907.505
139,4458.0,4058.258
140,3485.0,2614.0195
141,2546.0,1626.7366
142,1773.9999999999998,1060.933
143,1052.0,782.0013
144,548.0,628.1829
145,0.0,565.78644
146,0.0,548.42413
147,0.0,593.043
148,1418.0,591.32135
149,1066.0,626.30206
150,1006.0000000000001,1156.8956
151,1144.0,1497.8506
152,1228.0,1780.2522
153,1481.0,1793.1359
154,2836.0,1860.163
155,3288.0,2085.589
156,3298.9999999999995,2164.168
157,3674.0,3019.8027
158,4756.0,4113.9473
159,5920.000000000001,7040.053
160,7372.999999999999,9150.08
161,10234.0,11444.738
162,12437.0,13368.454
163,13201.0,14509.039
164,13719.0,15005.509
165,14643.999999999998,15965.161
166,15398.0,16002.711
167,15992.0,16254.659
168,16571.0,16360.948
169,17098.0,16513.06
170,17466.0,16367.569
171,17724.0,16530.027
172,17686.0,16639.367
173,17748.0,16444.568
174,17684.0,16561.918
175,17561.0,16399.002
176,17402.0,16121.241
177,17035.0,15954.257
178,16778.0,15572.64
179,16488.0,14999.605
180,16055.0,14894.009
181,15449.0,14355.143
182,15022.999999999998,14210.455
183,14454.0,13445.573
184,13755.0,13016.73
185,13201.0,12131.218
186,12382.0,11273.046
187,11686.999999999998,10161.935
188,10784.0,9128.951
189,7185.0,7878.302
190,6172.999999999999,6715.4243
191,7029.0,5862.8213
192,5045.0,5144.827
193,4123.0,4114.767
194,1826.0,2649.27
195,1864.0000000000002,1219.5254
196,1806.0,1086.5242
197,1671.0000000000002,858.5366
198,1648.0,697.365
199,938.0,625.159
200,0.0,447.93393
201,0.0,282.50647
202,0.0,369.365
203,0.0,411.31665
204,1274.0,455.08542
205,1312.0,488.75366
206,1445.0000000000002,969.5982
207,1604.0,1315.7858
208,2088.0,1808.3113
209,2292.0,1964.804
210,2488.0,2169.7437
211,2662.0,2521.2124
212,3152.0,3071.2932
213,3806.0000000000005,3756.2817
214,5059.0,4908.5586
215,6148.0,6089.7666
216,7578.0,7742.8696
217,9964.0,9477.655
218,11485.0,11178.176
219,12285.0,12305.368
