,actual,pred
0,0.0,-7735.799
1,0.0,-6527.828
2,0.0,-5448.24
3,0.0,-4716.009
4,0.0,-4407.57
5,0.0,-3656.781
6,1190.0,-5455.1562
7,1166.0,-3836.6348
8,2418.0,-1551.6992
9,1876.9999999999998,1979.6533
10,2360.0,4458.0654
11,2632.0,7528.5576
12,3131.0,4702.7964
13,3708.0,5094.465
14,5302.0,4051.7717
15,6146.999999999999,-2931.378
16,6014.0,-4521.994
17,6566.0,-1671.2272
18,3642.9999999999995,4843.6187
19,2865.0,6007.383
20,4627.0,6244.5244
21,8796.0,2271.338
22,7789.000000000001,4198.8784
23,7444.0,6914.502
24,8668.0,7931.8384
25,7858.0,2896.8152
26,8948.0,8401.186
27,6772.0,7242.5156
28,5927.0,10854.287
29,9781.0,8138.6777
30,8626.0,6478.6045
31,7628.0,5033.7563
32,5708.0,8018.076
33,3301.0,5599.441
34,2823.0,267.41382
35,2722.0,-3623.8364
36,1455.9999999999998,2901.249
37,0.0,-2042.5603
38,0.0,-6055.0205
39,0.0,-4305.95
40,0.0,-4462.726
41,0.0,-6811.014
42,0.0,-7961.183
43,0.0,-7614.029
44,0.0,-7063.4917
45,0.0,-7251.7383
46,0.0,-7784.91
47,0.0,-7088.658
48,0.0,-6748.2817
49,0.0,-7407.5947
50,0.0,-7971.7485
51,0.0,-7651.035
52,0.0,-7384.9473
53,0.0,-7801.665
54,0.0,-8149.396
55,0.0,-7808.5757
56,0.0,-7590.397
57,0.0,-7238.104
58,0.0,-7070.205
59,0.0,-5420.204
60,0.0,-1558.3416
61,0.0,-2576.9673
62,709.0,-3638.5408
63,1058.0,-395.1001
64,1504.0,6312.4863
65,2072.0,5415.3037
66,2763.0,10496.758
67,2790.0,11353.7
68,4325.0,15201.313
69,3424.0,14919.11
70,3784.0,13784.154
71,4426.0,14301.401
72,4478.0,21871.99
73,4505.0,19426.768
74,7543.0,36468.453
75,4945.0,34526.566
76,4599.0,38569.62
77,6236.0,37909.645
78,6094.0,36730.74
79,9351.0,32290.436
80,9848.0,35400.13
81,10082.0,32476.89
82,11320.0,32627.246
83,5548.0,25448.842
84,5875.999999999999,24631.787
85,3226.9999999999995,20637.469
86,3226.0,17263.047
87,1680.0,9855.009
88,1804.0,8655.814
89,1336.0,6276.492
90,1968.0,3068.0337
91,2104.0,-2633.4417
92,3011.0,-3706.4565
93,2139.0,-4441.7573
94,736.0,-4834.5234
95,0.0,-5845.31
96,0.0,-5280.7686
97,0.0,-6098.732
98,0.0,-7237.3916
99,0.0,-7336.5493
100,0.0,-6821.531
101,0.0,-7468.5522
102,0.0,-7848.301
103,0.0,-7699.6787
104,0.0,-7649.144
105,0.0,-8013.979
106,0.0,-8192.686
107,0.0,-8267.419
108,0.0,-8178.712
109,0.0,-8454.238
110,0.0,-8691.69
111,0.0,-8815.946
112,0.0,-8724.948
113,0.0,-7859.156
114,0.0,-7589.971
115,0.0,-7209.8086
116,0.0,-6328.739
117,0.0,-5779.6895
118,0.0,-8314.482
119,0.0,-9516.837
120,0.0,-6655.8916
121,0.0,-410.51562
122,1130.0,-1236.9072
123,1361.0,2600.9358
124,1909.0,4254.2686
125,1738.0,11398.69
126,1628.0,5683.69
127,1639.0,5829.9863
128,1804.0,8396.537
129,1976.0,8795.503
130,1653.0,4014.6494
131,1640.0,9265.355
132,1610.9999999999998,14123.334
133,1502.0,14630.388
134,2021.0,4170.5645
135,1907.0,4819.2373
136,2448.0,8584.501
137,1375.0,7490.191
138,559.0,-2594.0388
139,613.0,255.18555
140,715.0000000000001,1122.2189
141,2626.0,1723.9938
142,3902.0,-6369.898
143,1754.0,-4517.72
144,1653.0,-4850.4673
145,1378.0,-4344.449
146,0.0,-8646.227
147,413.0,-6528.9385
148,0.0,-5267.097
149,0.0,-5787.3003
150,0.0,-6346.6763
151,0.0,-5614.9727
152,0.0,-5522.4033
153,0.0,-6336.5723
154,0.0,-6340.6445
155,0.0,-6283.872
156,0.0,-6570.0244
157,0.0,-7222.841
158,0.0,-7189.5864
159,0.0,-6944.3496
160,0.0,-6980.5293
161,0.0,-7263.303
162,0.0,-7381.4155
163,0.0,-7350.7754
164,0.0,-7648.441
165,0.0,-8104.9326
166,0.0,-8240.019
167,0.0,-8160.309
168,0.0,-8339.12
169,0.0,-8702.236
170,0.0,-8330.968
171,0.0,-6886.9937
172,624.0,-5192.9604
173,1011.0,-6827.5903
174,1608.0,-9304.153
175,1884.0,-6839.496
176,2003.0,-1200.6597
177,2480.0,1684.655
178,2380.0,620.0454
179,2548.0,3581.4531
180,3017.0,8891.64
181,3924.0000000000005,11108.8125
182,4652.0,4184.257
183,6001.0,4622.045
184,5785.000000000001,11473.627
185,6949.999999999999,9714.462
186,8988.0,7239.725
187,10123.0,8801.361
188,10989.0,16683.246
189,11763.000000000002,12420.692
190,12796.0,9625.002
191,12151.0,7706.708
192,12473.0,13057.531
193,10565.0,8137.7607
194,12606.0,1725.6296
195,10399.0,-1335.5034
196,7424.0,2520.337
197,10688.0,-753.4457
198,6580.999999999999,-3319.792
199,5849.999999999999,-6206.315
200,3432.0,518.9165
201,4204.0,-2910.9932
202,3749.0,-1969.711
203,2473.0,-4684.7207
204,1881.0,-7807.5464
205,1746.0,-5201.5527
206,1328.0,-8392.291
207,973.9999999999999,-7718.2
208,0.0,-4815.707
209,0.0,-5027.2456
210,0.0,-7417.3984
211,0.0,-6758.4194
212,0.0,-5631.001
213,0.0,-5830.423
214,0.0,-7079.8555
215,0.0,-7055.144
216,0.0,-5922.6436
217,0.0,-6375.857
218,0.0,-7152.5215
219,0.0,-6913.966
220,0.0,-6186.756
221,0.0,-6633.181
222,0.0,-7327.523
223,0.0,-7389.3584
