,actual,pred
0,0.0,-517.7515
1,0.0,-2588.1423
2,0.0,-2482.9663
3,1190.0,-456.03854
4,1166.0,191.76826
5,2418.0,2828.9683
6,1876.9999999999998,8153.664
7,2360.0,7931.6567
8,2632.0,5339.04
9,3131.0,5721.861
10,3708.0,223.72281
11,5302.0,-4067.2437
12,6146.999999999999,-5899.7217
13,6014.0,-5841.09
14,6566.0,-13231.152
15,3642.9999999999995,-13152.089
16,2865.0,-12783.87
17,4627.0,-9635.383
18,8796.0,-16868.85
19,7789.000000000001,-22590.248
20,7444.0,-22919.14
21,8668.0,-21082.82
22,7858.0,-26015.799
23,8948.0,-17189.29
24,6772.0,-13261.016
25,5927.0,-8821.808
26,9781.0,-10028.819
27,8626.0,-10101.689
28,7628.0,-6472.709
29,5708.0,-3167.4905
30,3301.0,-1103.0117
31,2823.0,7627.3535
32,2722.0,5899.0
33,1455.9999999999998,6407.377
34,0.0,10765.274
35,0.0,11686.331
36,0.0,9807.089
37,0.0,4389.9873
38,0.0,8718.168
39,0.0,11481.098
40,0.0,9116.164
41,0.0,3424.023
42,0.0,3973.3696
43,0.0,2837.2346
44,0.0,3226.2856
45,0.0,4253.188
46,0.0,1649.3995
47,0.0,947.74866
48,0.0,376.67764
49,0.0,-3458.1738
50,0.0,-3103.4834
51,0.0,-2717.062
52,0.0,-3638.4358
53,0.0,-4475.071
54,0.0,-3592.0894
55,0.0,-3735.2812
56,0.0,-3777.7183
57,0.0,-2886.4268
58,0.0,-4425.0234
59,709.0,4967.002
60,1058.0,10467.89
61,1504.0,14137.74
62,2072.0,15043.948
63,2763.0,14419.443
64,2790.0,10723.578
65,4325.0,9189.7
66,3424.0,5177.2856
67,3784.0,3460.347
68,4426.0,437.57385
69,4478.0,-3111.1335
70,4505.0,-3253.1104
71,7543.0,79.68793
72,4945.0,-759.08026
73,4599.0,-1334.3317
74,6236.0,-3012.2615
75,6094.0,-1021.91943
76,9351.0,-4293.448
77,9848.0,-4535.8735
78,10082.0,-5249.152
79,11320.0,-1363.1091
80,5548.0,307.4591
81,5875.999999999999,1436.9954
82,3226.9999999999995,1699.9333
83,3226.0,4628.248
84,1680.0,5676.3096
85,1804.0,7764.0327
86,1336.0,10257.404
87,1968.0,12183.989
88,2104.0,12690.758
89,3011.0,12631.793
90,2139.0,11915.766
91,736.0,12525.348
92,0.0,13216.809
93,0.0,14045.948
94,0.0,14683.168
95,0.0,13667.172
96,0.0,10684.796
97,0.0,10153.695
98,0.0,9210.322
99,0.0,8292.364
100,0.0,3894.2563
101,0.0,2501.493
102,0.0,3174.8647
103,0.0,3085.926
104,0.0,2192.6274
105,0.0,1373.0464
106,0.0,136.43648
107,0.0,-1960.3071
108,0.0,-3677.247
109,0.0,-3221.635
110,0.0,-2511.5762
111,0.0,-2365.811
112,0.0,-2433.4124
113,0.0,-329.55493
114,0.0,-1939.7621
115,0.0,1309.356
116,0.0,3416.9827
117,0.0,-2148.8672
118,0.0,1977.1125
119,1130.0,4679.7466
120,1361.0,6872.3965
121,1909.0,4002.539
122,1738.0,7535.713
123,1628.0,3833.198
124,1639.0,1383.6898
125,1804.0,1547.663
126,1976.0,-3214.31
127,1653.0,1738.8646
128,1640.0,-2545.6763
129,1610.9999999999998,4280.3867
130,1502.0,-120.642
131,2021.0,-1863.128
132,1907.0,-2730.6035
133,2448.0,402.34213
134,1375.0,-1272.8706
135,559.0,3789.346
136,613.0,3936.3
137,715.0000000000001,6769.3823
138,2626.0,7167.1064
139,3902.0,3823.547
140,1754.0,5486.33
141,1653.0,5354.3516
142,1378.0,6167.9463
143,0.0,11578.807
144,413.0,12763.56
145,0.0,13534.736
146,0.0,13461.007
147,0.0,12103.706
148,0.0,12611.838
149,0.0,12318.078
150,0.0,12758.645
151,0.0,11377.558
152,0.0,9329.234
153,0.0,6294.837
154,0.0,6463.3984
155,0.0,3466.2566
156,0.0,1994.3131
157,0.0,3018.4443
158,0.0,3279.153
159,0.0,3299.3086
160,0.0,2276.254
161,0.0,-892.47375
162,0.0,-3227.7786
163,0.0,-4663.4204
164,0.0,-4761.7686
165,0.0,-4387.0103
166,0.0,-4305.058
167,0.0,-4709.2593
168,0.0,-4613.273
169,624.0,-2140.6443
170,1011.0,-2196.2903
171,1608.0,2786.8591
172,1884.0,1961.4761
173,2003.0,-1674.0443
174,2480.0,-4738.324
175,2380.0,-3970.665
176,2548.0,-1418.4697
177,3017.0,491.59628
178,3924.0000000000005,-2178.255
179,4652.0,-514.22327
180,6001.0,-5671.4937
181,5785.000000000001,-10620.176
182,6949.999999999999,-11449.286
183,8988.0,-10776.363
184,10123.0,-15334.256
185,10989.0,-10927.069
186,11763.000000000002,-10064.872
187,12796.0,-10752.851
188,12151.0,-14511.22
189,12473.0,-16143.36
190,10565.0,-14772.822
191,12606.0,-16100.193
192,10399.0,-16590.309
193,7424.0,-2876.9185
194,10688.0,506.32727
195,6580.999999999999,2330.4292
196,5849.999999999999,2380.9404
197,3432.0,3525.9407
198,4204.0,8126.4014
199,3749.0,12449.876
200,2473.0,14634.344
201,1881.0,18486.34
202,1746.0,20633.16
203,1328.0,22288.45
204,973.9999999999999,12866.283
205,0.0,2862.549
206,0.0,2178.939
207,0.0,4443.979
208,0.0,2929.4512
209,0.0,3368.6235
210,0.0,3513.2686
211,0.0,3280.8357
212,0.0,2030.0028
213,0.0,2169.925
214,0.0,1934.8838
215,0.0,2099.9255
216,0.0,1443.7307
217,0.0,-3322.504
218,0.0,-3532.7908
219,0.0,-3809.35
220,0.0,-4155.57
221,0.0,-4300.0864
222,400.0,-4398.6543
223,582.0,-4080.3257
