,actual,pred
0,0.0,777.653
1,0.0,647.8424
2,0.0,803.59515
3,1341.0,966.2797
4,1182.0,908.2059
5,2276.0,1168.6484
6,1518.0,1334.0142
7,3664.0,1567.4346
8,2391.0,1710.8395
9,1584.9999999999998,1845.0966
10,1165.0,2524.5654
11,1714.0000000000002,2726.4197
12,2084.0,3494.5833
13,4621.0,3987.9548
14,4406.0,4299.7227
15,3110.0,4808.313
16,6377.0,5173.1777
17,2543.0,5608.3945
18,1534.0,5972.316
19,1758.0,6186.738
20,3312.0,6475.6133
21,4147.0,6646.995
22,5007.0,7069.0215
23,5547.0,7266.5312
24,5572.0,7642.6333
25,5603.0,8258.808
26,3052.0,9304.342
27,2035.0,9881.913
28,2290.0,10701.976
29,1853.9999999999998,11466.656
30,2034.0,12104.609
31,1369.0,12562.846
32,3155.0000000000005,12855.804
33,3960.0,13097.293
34,3208.9999999999995,13296.863
35,4741.0,13016.459
36,2301.0,12753.24
37,1139.0,12718.962
38,2302.0,12455.918
39,1787.0,12244.688
40,6038.0,11342.927
41,9109.0,10121.76
42,13093.999999999998,9193.742
43,8559.0,8102.553
44,5111.0,7014.3237
45,2488.0,5984.1104
46,2427.0,4477.232
47,2893.0,3702.2603
48,5519.0,3023.4043
49,3580.0000000000005,2302.3809
50,3258.0,1665.5771
51,1680.0,1596.8148
52,2183.0,1144.1428
53,1662.9999999999998,890.7991
54,1864.0000000000002,773.39557
55,874.0,1010.0353
56,0.0,561.1868
57,0.0,489.68082
58,1341.0,746.5599
59,1182.0,980.7298
60,2276.0,964.6448
61,1518.0,1288.3481
62,3664.0,1527.2432
63,2391.0,1808.0532
64,1584.9999999999998,1986.8635
65,1165.0,2153.7344
66,1714.0000000000002,2878.5815
67,2084.0,3109.1038
68,4621.0,3889.9438
69,4406.0,4390.1475
70,3110.0,4721.6875
71,6377.0,5255.6353
72,2543.0,5660.504
73,1534.0,6112.789
74,1758.0,6524.1836
75,3312.0,6737.127
76,4147.0,7023.2305
77,5007.0,7178.8145
78,5547.0,7588.049
79,5572.0,7767.4966
80,5603.0,8153.131
81,3052.0,8753.136
82,2035.0,9794.993
83,2290.0,10379.882
84,1853.9999999999998,11180.209
85,2034.0,11927.734
86,1369.0,12540.493
87,3155.0000000000005,12969.985
88,3960.0,13201.573
89,3208.9999999999995,13382.468
90,4741.0,13469.248
91,2301.0,13076.269
92,1139.0,12713.925
