DateTime,MinuteOfDay,Day,Month,Tair,WS,RH,SS1,GHI_1,P
9/1/2021 6:00,360,1,9,0,0,0,-90.94658245,-6.761111404,-90.94658245
9/1/2021 6:15,375,1,9,0,0,0,-99.90265797,-6.82495906,-99.90265797
9/1/2021 6:30,390,1,9,0,0,0,-42.57969106,-2.609047404,-42.57969106
9/1/2021 6:45,405,1,9,0,0,0,97.44076103,6.877414136,97.44076103
9/1/2021 7:00,420,1,9,0,0,0,311.2464439,21.28452461,311.2464439
9/1/2021 7:15,435,1,9,15.2,0.935,0.805,582.3184085,38.88399253,582.3184085
9/1/2021 7:30,450,1,9,15.3,1.32,0.81,878.9073995,56.70462824,878.9073995
9/1/2021 7:45,465,1,9,15.4,1.375,0.79,1172.874768,72.71673883,1172.874768
9/1/2021 8:00,480,1,9,15.6,1.42,0.79,1446.828655,86.42546344,1446.828655
9/1/2021 8:15,495,1,9,15.7,1.45,0.78,1673.669389,98.61695085,1673.669389
9/1/2021 8:30,510,1,9,15.7,1.44,0.77,1830.127281,111.5033944,1830.127281
9/1/2021 8:45,525,1,9,15.9,1.315,0.765,1907.365624,126.2729838,1907.365624
9/1/2021 9:00,540,1,9,16,1.07,0.75,1916.394239,142.5099633,1916.394239
9/1/2021 9:15,555,1,9,16.15,1.2,0.735,1918.968537,159.0165878,1918.968537
9/1/2021 9:30,570,1,9,16.3,1.36,0.72,2009.441371,173.5595408,2009.441371
9/1/2021 9:45,585,1,9,16.45,1.305,0.7,2253.679849,185.2166576,2253.679849
9/1/2021 10:00,600,1,9,16.5,1.34,0.69,2669.429882,195.109424,2669.429882
9/1/2021 10:15,615,1,9,16.6,1.595,0.7,3189.408771,205.3427432,3189.408771
9/1/2021 10:30,630,1,9,16.7,1.44,0.71,3672.375705,219.0586836,3672.375705
9/1/2021 10:45,645,1,9,16.9,1.55,0.695,4019.34743,237.940261,4019.34743
9/1/2021 11:00,660,1,9,17.1,1.5,0.67,4192.870582,261.0029234,4192.870582
9/1/2021 11:15,675,1,9,17.2,1.545,0.655,4221.098832,285.0614506,4221.098832
9/1/2021 11:30,690,1,9,17.4,2,0.68,4208.912465,304.8047729,4208.912465
9/1/2021 11:45,705,1,9,17.35,1.84,0.67,4208.070308,316.022302,4208.070308
9/1/2021 12:00,720,1,9,17.7,1.44,0.65,4204.598417,316.8674143,4204.598417
9/1/2021 12:15,735,1,9,17.55,1.565,0.65,4175.710421,307.5793125,4175.710421
9/1/2021 12:30,750,1,9,17.7,1.4,0.65,4059.506329,291.018176,4059.506329
9/1/2021 12:45,765,1,9,17.7,1.575,0.645,3835.58771,269.5218873,3835.58771
9/1/2021 13:00,780,1,9,18.1,1.13,0.65,3543.34133,244.6763732,3543.34133
9/1/2021 13:15,795,1,9,17.8,1.675,0.66,3198.703497,219.5253597,3198.703497
9/1/2021 13:30,810,1,9,17.7,1.85,0.67,2824.60558,197.0771358,2824.60558
9/1/2021 13:45,825,1,9,17.7,1.81,0.67,2445.680497,180.5953749,2445.680497
